,记忆时光隧道,自我探索报告,用户主导型记忆【随手拍记录生活】,UCG创作内容市场,专业测试栏目,多平台数据同步,社交情景分析&话术训练,人工导师培训&答疑,数字人点触及体感互动,数字人性格个性化及适配,数字人形象及语音包个性化,数字人主动邀约及活动/餐厅推荐,数字人社交代理,成长型数字人性格,数字人聊天背景个性化,社交内容分享探讨,压力话题/匿名倾诉社区,解压小游戏,正念引导/冥想/白噪音,专业心理辅导（人工或AI）
记忆时光隧道,1.0,-0.0077517365835139155,0.5100770219264463,0.05450653463508163,0.08170872390572671,0.3873883434448854,-0.2856349407461553,-0.17019234862799076,-0.1699167425231396,-0.031935250308902215,-0.27584603802037205,-0.30930532029513863,-0.2798952719092905,0.013684682192964237,0.0130566601171698,-0.03438009846605956,-0.03919286375296227,-0.0614087270335528,-0.060991362712975325,-0.13108166740324229
自我探索报告,-0.0077517365835139155,1.0,-0.2753028340903167,-0.09452140453311916,0.06405187412543457,-0.2448351933796971,0.25886679750402936,0.12070926257562245,-0.318512726345741,0.03996376264875508,-0.24966079424141377,-0.02601903960925994,0.11705530186191247,-0.09441740540104256,-0.597051337543564,-0.3907519028801584,-0.08951042481723046,-0.2419970426283021,0.04268474324521987,0.6868915675386383
用户主导型记忆【随手拍记录生活】,0.5100770219264463,-0.2753028340903167,1.0,0.24782891646404603,-0.028896441087113985,0.5597914992182828,-0.22816112958451823,-0.2160173425432245,0.06427911944790488,-0.21701773325063087,-0.0326099788708434,0.19088204564818562,-0.39858236288479865,-0.015740963907235818,-0.04109710459766876,0.0717044774486355,-0.28924820632834986,0.0025985075994230437,-0.17420356764091519,-0.4009992565353298
UCG创作内容市场,0.05450653463508163,-0.09452140453311916,0.24782891646404603,1.0,0.18441319130180647,0.17429218444409378,-0.3571081532715639,-0.3367284888749168,-0.1537318673015705,-0.16262752809997805,0.004133026357143362,0.0871675839199058,-0.35260260144095956,0.16387729442987126,-0.04184190224185698,-0.029604549523130276,0.034368423272166986,-0.08178556659952452,-0.15984103168007607,0.03815666819509012
专业测试栏目,0.08170872390572671,0.06405187412543457,-0.028896441087113985,0.18441319130180647,1.0,0.11375836554677746,0.11355792352678423,0.16986391568517112,-0.4200778848432145,-0.4276347568326328,-0.2782056281557403,-0.2821808556133581,-0.5274672158199469,-0.11452440792422966,-0.24861989739453033,-0.4976716909145892,0.38722571890461244,-0.11649756029145265,0.23557821041277235,0.47738487895351467
多平台数据同步,0.3873883434448854,-0.2448351933796971,0.5597914992182828,0.17429218444409378,0.11375836554677746,1.0,-0.0021483222537145266,-0.34125958724050093,-0.24957133335302958,0.008246912582329293,-0.17988674704723734,-0.0913963987373913,-0.5982482920457975,-0.0337080877163518,0.1166407713587729,0.2221818115825035,0.012702605333035764,0.1558062284531005,-0.33844459384472236,-0.3777790892669426
社交情景分析&话术训练,-0.2856349407461553,0.25886679750402936,-0.22816112958451823,-0.3571081532715639,0.11355792352678423,-0.0021483222537145266,1.0,0.49509886969093614,-0.24789013506646893,0.0750269317469205,-0.06566962039319285,-0.22885560257253637,0.1665937205873322,-0.4579376966892713,-0.36154789569703416,-0.3128064381457038,-0.020605362971401014,0.02273693741149675,0.043815363141850756,0.09639466302096097
人工导师培训&答疑,-0.17019234862799076,0.12070926257562245,-0.2160173425432245,-0.3367284888749168,0.16986391568517112,-0.34125958724050093,0.49509886969093614,1.0,-0.29763498196771476,-0.24109244300042615,-0.46370953588648345,-0.27388787826431704,0.37894552679299043,0.07764727620631892,-0.3916090554591329,-0.15871377426547859,-0.18366724921814467,-0.19969723514585783,0.411616971442583,0.3023848100123657
数字人点触及体感互动,-0.1699167425231396,-0.318512726345741,0.06427911944790488,-0.1537318673015705,-0.4200778848432145,-0.24957133335302958,-0.24789013506646893,-0.29763498196771476,1.0,0.41262001514618907,0.612654529482879,0.3667678054666656,0.2098557663072302,0.19427409687464925,0.32741550066062447,0.04984328738306686,-0.20397970111195643,-0.06786441390491248,-0.3738400009359881,-0.526443326038691
数字人性格个性化及适配,-0.031935250308902215,0.03996376264875508,-0.21701773325063087,-0.16262752809997805,-0.4276347568326328,0.008246912582329293,0.0750269317469205,-0.24109244300042615,0.41262001514618907,1.0,0.5991592697371372,0.34895788463817967,0.12165576942265541,-0.12403213376282293,0.11815262172324517,0.05247812170610282,-0.17036756337640907,-0.271386473043425,-0.5525172928967795,-0.42966006667543427
数字人形象及语音包个性化,-0.27584603802037205,-0.24966079424141377,-0.0326099788708434,0.004133026357143362,-0.2782056281557403,-0.17988674704723734,-0.06566962039319285,-0.46370953588648345,0.612654529482879,0.5991592697371372,1.0,0.4411186907637775,-0.08107449925883578,-0.24147862619836802,0.32701012658582956,-0.0923499316279448,0.05114706914538093,-0.04683372858727946,-0.41500272936777727,-0.4445990933235435
数字人主动邀约及活动/餐厅推荐,-0.30930532029513863,-0.02601903960925994,0.19088204564818562,0.0871675839199058,-0.2821808556133581,-0.0913963987373913,-0.22885560257253637,-0.27388787826431704,0.3667678054666656,0.34895788463817967,0.4411186907637775,1.0,-0.05368706879708584,0.10573738251429671,-0.07275076269033066,0.09399731211637266,-0.5567846634099527,-0.08417215449486759,-0.2276233552807301,-0.2456473302898553
数字人社交代理,-0.2798952719092905,0.11705530186191247,-0.39858236288479865,-0.35260260144095956,-0.5274672158199469,-0.5982482920457975,0.1665937205873322,0.37894552679299043,0.2098557663072302,0.12165576942265541,-0.08107449925883578,-0.05368706879708584,1.0,0.052076935133416685,-0.15599145348329388,0.1120035701187449,-0.10466532693208748,0.06966817661553709,0.13639568888811954,-0.03876749743779514
成长型数字人性格,0.013684682192964237,-0.09441740540104256,-0.015740963907235818,0.16387729442987126,-0.11452440792422966,-0.0337080877163518,-0.4579376966892713,0.07764727620631892,0.19427409687464925,-0.12403213376282293,-0.24147862619836802,0.10573738251429671,0.052076935133416685,1.0,-0.04454423933699332,0.24560515432737487,-0.08817460584327273,-0.07886101163825729,-0.3001680395685514,-0.07966050828507257
数字人聊天背景个性化,0.0130566601171698,-0.597051337543564,-0.04109710459766876,-0.04184190224185698,-0.24861989739453033,0.1166407713587729,-0.36154789569703416,-0.3916090554591329,0.32741550066062447,0.11815262172324517,0.32701012658582956,-0.07275076269033066,-0.15599145348329388,-0.04454423933699332,1.0,0.3538290565825181,0.134288933129512,0.3199420633917391,-0.09945995619290902,-0.45040090838392155
社交内容分享探讨,-0.03438009846605956,-0.3907519028801584,0.0717044774486355,-0.029604549523130276,-0.4976716909145892,0.2221818115825035,-0.3128064381457038,-0.15871377426547859,0.04984328738306686,0.05247812170610282,-0.0923499316279448,0.09399731211637266,0.1120035701187449,0.24560515432737487,0.3538290565825181,1.0,-0.0507146342181695,-0.11248737838098448,0.01344960905000888,-0.3359796149073878
压力话题/匿名倾诉社区,-0.03919286375296227,-0.08951042481723046,-0.28924820632834986,0.034368423272166986,0.38722571890461244,0.012702605333035764,-0.020605362971401014,-0.18366724921814467,-0.20397970111195643,-0.17036756337640907,0.05114706914538093,-0.5567846634099527,-0.10466532693208748,-0.08817460584327273,0.134288933129512,-0.0507146342181695,1.0,0.02830295196961701,-0.003648895656174508,0.1103415161121115
解压小游戏,-0.0614087270335528,-0.2419970426283021,0.0025985075994230437,-0.08178556659952452,-0.11649756029145265,0.1558062284531005,0.02273693741149675,-0.19969723514585783,-0.06786441390491248,-0.271386473043425,-0.04683372858727946,-0.08417215449486759,0.06966817661553709,-0.07886101163825729,0.3199420633917391,-0.11248737838098448,0.02830295196961701,1.0,-0.05268180723652652,-0.20380007009593082
正念引导/冥想/白噪音,-0.060991362712975325,0.04268474324521987,-0.17420356764091519,-0.15984103168007607,0.23557821041277235,-0.33844459384472236,0.043815363141850756,0.411616971442583,-0.3738400009359881,-0.5525172928967795,-0.41500272936777727,-0.2276233552807301,0.13639568888811954,-0.3001680395685514,-0.09945995619290902,0.01344960905000888,-0.003648895656174508,-0.05268180723652652,1.0,0.5534211546643513
专业心理辅导（人工或AI）,-0.13108166740324229,0.6868915675386383,-0.4009992565353298,0.03815666819509012,0.47738487895351467,-0.3777790892669426,0.09639466302096097,0.3023848100123657,-0.526443326038691,-0.42966006667543427,-0.4445990933235435,-0.2456473302898553,-0.03876749743779514,-0.07966050828507257,-0.45040090838392155,-0.3359796149073878,0.1103415161121115,-0.20380007009593082,0.5534211546643513,1.0
